I,I2,I3,I4
0.0015166666666666668,0.0013333333333333333,0.00125,0.0012000000000000001
0.002783333333333334,0.002466666666666667,0.0026000000000000003,0.002416666666666667
0.005266666666666667,0.004783333333333334,0.004633333333333333,0.0043166666666666674
0.009266666666666666,0.007916666666666666,0.008300000000000002,0.00775
0.014883333333333333,0.0126,0.013450000000000002,0.012066666666666665
0.021900000000000003,0.019433333333333334,0.02066666666666667,0.018250000000000002
0.033016666666666666,0.02735,0.030433333333333337,0.025783333333333328
0.0444,0.036950000000000004,0.042716666666666674,0.03546666666666667
0.05855000000000001,0.04773333333333334,0.05606666666666666,0.04686666666666667
0.07405,0.06060000000000001,0.07101666666666666,0.06013333333333334
0.09171666666666667,0.07451666666666668,0.08823333333333333,0.074
0.11119999999999998,0.08896666666666665,0.10823333333333335,0.08994999999999999
0.13401666666666667,0.10546666666666667,0.1284,0.10765000000000001
0.1572,0.12333333333333334,0.1516833333333333,0.12551666666666667
0.18268333333333334,0.14296666666666666,0.17651666666666666,0.1455666666666667
0.20981666666666665,0.16318333333333335,0.20265,0.16748333333333335
0.23791666666666667,0.18303333333333335,0.23056666666666667,0.18915
0.26886666666666664,0.20468333333333333,0.25505,0.20926666666666668
0.30216666666666664,0.22623333333333331,0.2787833333333333,0.22830000000000003
0.3358999999999999,0.25078333333333336,0.30068333333333336,0.24395
0.37105000000000005,0.2746166666666667,0.3209166666666667,0.25858333333333333
0.4070666666666667,0.29993333333333333,0.3398333333333334,0.2726
0.4460166666666667,0.3263666666666667,0.3580833333333333,0.2864666666666667
0.48541666666666666,0.3532166666666667,0.37565,0.29933333333333334
0.5218333333333334,0.3792,0.39263333333333333,0.31153333333333333
0.5592166666666666,0.40775,0.4090833333333333,0.32336666666666675
0.5956,0.4361333333333333,0.4244666666666667,0.33398333333333335
0.6305666666666666,0.46451666666666674,0.43966666666666665,0.3448333333333333
0.6649333333333333,0.49428333333333324,0.45473333333333327,0.35438333333333333
0.6971333333333334,0.5214333333333333,0.46906666666666674,0.36356666666666665
0.72805,0.5503000000000001,0.48334999999999995,0.37283333333333335
0.7570999999999999,0.5781000000000001,0.4964166666666667,0.38176666666666664
0.7836000000000002,0.6053833333333333,0.5102166666666667,0.38989999999999997
0.8079166666666667,0.6320333333333333,0.5235500000000001,0.39830000000000004
0.83155,0.6570833333333334,0.5371333333333334,0.40609999999999996
0.8524999999999999,0.6813166666666667,0.5499833333333333,0.4143833333333333
0.8703833333333333,0.7052833333333334,0.5616166666666667,0.4222333333333333
0.8866333333333333,0.7280833333333335,0.5731666666666667,0.4296499999999999
0.9012166666666667,0.7499000000000001,0.5850666666666666,0.4362333333333333
0.9147166666666666,0.7711,0.5965166666666667,0.44298333333333334
0.9254666666666665,0.7912833333333333,0.6083166666666667,0.4502166666666667
0.9356666666666666,0.8105333333333333,0.6188666666666666,0.45685
0.9449500000000001,0.8283333333333333,0.6294166666666666,0.4632833333333333
0.9524499999999999,0.8442500000000001,0.6397,0.46928333333333333
0.9591,0.8602333333333333,0.6496333333333334,0.4752833333333333
