S,V,E,EV,E+EV,I,IV,I+IV,H,HV,H+HV,R,RV,,D
0.026639999999999997,0.01803,0.009640000000000001,0.006469999999999999,0.01611,0.012820000000000002,0.017849999999999998,0.03067,0.0025599999999999998,0.0022600000000000003,0.00482,0.35057,0.54304,0.89361,0.01012
0.027469999999999994,0.01901,0.00919,0.0057599999999999995,0.01495,0.012480000000000002,0.01628,0.02876,0.00247,0.0021399999999999995,0.00461,0.34950000000000003,0.54547,0.89497,0.01023
0.028599999999999997,0.02006,0.008889999999999999,0.0051400000000000005,0.01403,0.01163,0.014539999999999997,0.02617,0.00238,0.0020399999999999997,0.00442,0.34855,0.5478,0.89635,0.01037
0.029320000000000002,0.020939999999999997,0.00862,0.00463,0.01325,0.011170000000000001,0.01326,0.02443,0.00229,0.0020099999999999996,0.0043,0.3476,0.5497099999999999,0.89731,0.010450000000000001
0.030449999999999998,0.02196,0.00818,0.004200000000000001,0.01238,0.010689999999999998,0.01211,0.0228,0.0021699999999999996,0.00186,0.00403,0.34636,0.55151,0.89787,0.010510000000000002
0.031479999999999994,0.023289999999999998,0.00802,0.0038399999999999997,0.01186,0.01,0.01084,0.02084,2,0.00178,2.00178,0.34489000000000003,0.5532099999999999,0.8981,0.010650000000000003
0.032380000000000006,0.024780000000000003,0.00787,0.00349,0.01136,0.009649999999999999,0.009720000000000001,0.01937,0.0019100000000000002,0.0016899999999999999,0.0036,0.34299,0.5547899999999999,0.89778,0.01073
0.0329,0.026070000000000003,0.0076100000000000004,0.0033300000000000005,0.01094,0.00902,0.00863,0.01765,0.00184,0.00163,0.00347,0.34197,0.55623,0.8982,0.01077
0.03374,0.027379999999999998,0.00737,0.00307,0.01044,0.00865,0.00781,0.01646,0.0017399999999999998,0.00148,0.00322,0.34056000000000003,0.5573600000000001,0.89792,0.010839999999999999
0.034839999999999996,0.02858,0.00677,0.0029600000000000004,0.00973,0.00853,0.007000000000000001,0.01553,0.0017000000000000001,0.0014299999999999998,0.00313,0.33895,0.5583499999999999,0.8973,0.01089
0.035339999999999996,0.029759999999999998,0.0064399999999999995,0.00279,0.00923,0.0083,0.00649,0.01479,0.00163,0.00129,0.00292,0.33777999999999997,0.55924,0.89702,0.01094
0.035960000000000006,0.03134,0.00613,0.0027199999999999998,0.00885,0.008280000000000001,0.0059099999999999995,0.01419,0.00152,0.0012000000000000001,0.00272,0.33597,0.5599700000000001,0.89594,0.011000000000000001
0.03663000000000001,0.03278,0.0059299999999999995,0.00254,0.00847,0.00802,0.005289999999999999,0.01331,0.00142,0.00109,0.00251,0.33431,0.56089,0.8952,0.011099999999999999
0.037579999999999995,0.03389,0.005640000000000001,0.0024999999999999996,0.00814,0.0076100000000000004,0.00473,0.01234,0.00133,0.0010599999999999997,0.00239,0.33285,0.56164,0.89449,0.01117
0.038500000000000006,0.035089999999999996,0.00539,0.0023699999999999997,0.00776,0.007199999999999998,0.00437,0.01157,0.0012299999999999998,0.0009299999999999999,0.00216,0.33145,0.56226,0.89371,0.011210000000000001
0.03948,0.036270000000000004,0.00541,0.00228,0.00769,0.00688,0.00414,0.01102,0.0012399999999999998,0.0008200000000000001,0.00206,0.32946000000000003,0.5627899999999999,0.89225,0.011229999999999999
0.03998,0.03775,0.00533,0.0021899999999999997,0.00752,0.00658,0.00397,0.01055,0.00122,0.00073,0.00195,0.32780999999999993,0.5631700000000001,0.89098,0.011269999999999999
0.04048,0.03945,0.00491,0.00207,0.00698,0.006560000000000001,0.0034799999999999996,0.01004,0.00118,0.00069,0.00187,326,0.56389,326.56389,0.011289999999999998
0.04117,0.04096999999999999,0.00485,0.0019200000000000003,0.00677,0.006110000000000001,0.0033599999999999997,0.00947,0.0012000000000000001,0.00066,0.00186,0.32425,0.5641900000000001,0.88844,0.01132
0.04178,0.04239,0.00468,0.0018599999999999999,0.00654,0.00595,0.0032,0.00915,0.00111,0.0006000000000000001,0.00171,0.32252000000000003,0.5645399999999999,0.88706,0.011369999999999998
0.04215999999999999,0.04411,0.00438,0.00172,0.0061,0.005869999999999999,0.0032,0.00907,0.00104,0.0005500000000000001,0.00159,0.32084999999999997,0.56472,0.88557,0.011399999999999999
0.043199999999999995,0.0455,0.004149999999999999,0.0017799999999999997,0.00593,0.00577,0.00296,0.00873,0.00098,0.00057,0.00155,0.31868,0.5649799999999999,0.88366,0.01143
0.04369,0.04701,0.00415,0.00172,0.00587,0.0052899999999999996,0.0027899999999999995,0.00808,0.0009,0.00057,0.00147,0.31710000000000005,0.56532,0.88242,0.011460000000000001
0.044239999999999995,0.048530000000000004,0.00401,0.00172,0.00573,0.00506,0.00256,0.00762,0.00086,0.00053,0.00139,0.31545,0.5655499999999999,0.881,0.01149
0.04431,0.05045000000000001,0.00401,0.0016400000000000002,0.00565,0.00479,0.00247,0.00726,0.00086,0.0005,0.00136,0.31374,0.5657300000000001,0.87947,0.0115
0.04476,0.05219,0.00392,0.0015600000000000002,0.00548,0.0048,0.0023100000000000004,0.00711,0.0007900000000000001,0.00049,0.00128,0.31169,0.56596,0.87765,0.01153
0.04502,0.05413999999999999,0.0036699999999999997,0.0014699999999999997,0.00514,0.0048400000000000006,0.0022600000000000003,0.0071,0.00074,0.00043999999999999996,0.00118,0.30968999999999997,0.56616,0.87585,0.01157
0.045630000000000004,0.055580000000000004,0.0035499999999999998,0.00148,0.00503,0.004659999999999999,0.0020700000000000002,0.00673,0.0007000000000000001,0.00037,0.00107,0.30789,0.5664499999999999,0.87434,0.011620000000000002
0.04611,0.057120000000000004,0.00346,0.0014600000000000001,0.00492,0.004450000000000001,0.00198,0.00643,0.00073,0.00031999999999999997,0.00105,0.30612000000000006,0.5666,0.87272,0.01165
0.04636,0.058800000000000005,0.0033099999999999996,0.00135,0.00466,0.00441,0.00196,0.00637,0.00081,0.00026,0.00107,0.30428000000000005,0.5667899999999999,0.87107,0.01167
0.046610000000000006,0.0606,0.0031900000000000006,0.0013900000000000002,0.00458,0.004260000000000001,0.0019200000000000003,0.00618,0.00078,0.00025,0.00103,0.30238000000000004,0.56694,0.86932,0.01168
0.04703,0.06228999999999999,0.0030700000000000002,0.0013999999999999998,0.00447,0.00413,0.00189,0.00602,0.00074,0.0002,0.00094,0.30053,0.56699,0.86752,0.01173
0.047319999999999994,0.06422999999999998,0.00311,0.0014500000000000001,0.00456,0.0038699999999999997,0.0018,0.00567,0.0007199999999999999,0.00018,0.0009,0.29846000000000006,0.56713,0.86559,0.01173
0.047459999999999995,0.06616000000000001,0.0031600000000000005,0.0014500000000000001,0.00461,0.0037600000000000003,0.0017599999999999998,0.00552,0.0006699999999999999,0.00017,0.00084,0.29646000000000006,0.5671899999999999,0.86365,0.011760000000000001
0.04759999999999999,0.06781000000000001,0.0031299999999999995,0.00143,0.00456,0.00375,0.0017100000000000001,0.00546,0.00066,0.00016,0.00082,0.29465,0.56731,0.86196,0.01179
0.04835,0.06936,0.00292,0.0013700000000000001,0.00429,0.00355,0.00173,0.00528,0.0006800000000000002,0.00016,0.00084,0.29274000000000006,0.56735,0.86009,0.01179
0.048819999999999995,0.07104999999999999,0.00276,0.0012599999999999998,0.00402,0.00329,0.00173,0.00502,0.0006600000000000002,0.00016,0.00082,0.29104,0.56741,0.85845,0.01182
0.04922000000000001,0.07293000000000001,0.0026500000000000004,0.0012499999999999998,0.0039,0.0033299999999999996,0.00167,0.005,0.00063,0.00013000000000000002,0.00076,0.28887,0.5674600000000001,0.85633,0.011859999999999999
0.04944,0.07482000000000001,0.0026300000000000004,0.00123,0.00386,0.0032,0.0015899999999999998,0.00479,0.00059,0.00013000000000000002,0.00072,0.28685,0.56763,0.85448,0.01189
0.0495,0.07665999999999999,0.00248,0.0012699999999999999,0.00375,0.00326,0.00156,0.00482,0.0005600000000000001,0.00014000000000000001,0.0007,0.28497999999999996,0.56769,0.85267,0.0119
0.04926,0.07859999999999999,0.0023699999999999997,0.0012400000000000002,0.00361,0.0031,0.00148,0.00458,0.00058,0.00015000000000000001,0.00073,0.2835,0.5678099999999999,0.85131,0.01191
0.04932,0.08056999999999999,0.0023400000000000005,0.00125,0.00359,0.0028499999999999997,0.0014499999999999997,0.0043,0.00054,0.00014000000000000001,0.00068,0.28181,0.5677899999999999,0.8496,0.011940000000000001
0.049199999999999994,0.08267,0.00231,0.00117,0.00348,0.0029000000000000002,0.00148,0.00438,0.0005200000000000002,0.00014000000000000001,0.00066,0.27981,0.56786,0.84767,0.011940000000000001
0.04939,0.08419000000000001,0.00225,0.0012299999999999998,0.00348,0.0028799999999999997,0.0014700000000000002,0.00435,0.0004900000000000002,0.00013000000000000002,0.00062,0.27816,0.5678699999999999,0.84603,0.011940000000000001
0.04943,0.08642,0.00223,0.00113,0.00336,0.0027199999999999993,0.0014700000000000002,0.00419,0.00048000000000000007,0.00011,0.00059,0.27604,0.5680099999999999,0.84405,0.011960000000000002
0.04947,0.08835000000000001,0.00205,0.00114,0.00319,0.00277,0.0014100000000000002,0.00418,0.0004700000000000001,0.00011,0.00058,0.27412000000000003,0.56814,0.84226,0.01197
0.04971,0.09015000000000001,0.00198,0.00117,0.00315,0.0026899999999999997,0.00131,0.004,0.00046,0.00011,0.00057,0.27227000000000007,0.5681799999999999,0.84045,0.01197
0.04947,0.0921,0.0019,0.00114,0.00304,0.00263,0.00132,0.00395,0.00045,0.00012000000000000002,0.00057,0.27069,0.56821,0.8389,0.01197
0.04955,0.09394,0.00184,0.0012300000000000002,0.00307,0.0025499999999999997,0.0013000000000000002,0.00385,0.00046,8.999999999999999e-05,0.00055,0.26882,0.56823,0.83705,0.01199
0.04976000000000001,0.09574999999999999,0.00178,0.0012699999999999999,0.00305,0.00235,0.00126,0.00361,0.00047000000000000004,0.00008,0.00055,0.26698,0.56831,0.83529,0.01199
0.05022,0.09768000000000002,0.0016799999999999999,0.0012799999999999999,0.00296,0.00229,0.00122,0.00351,0.00045,0.00008,0.00053,0.26481999999999994,0.5682699999999999,0.83309,0.012010000000000002
0.05042,0.09945,0.0015400000000000001,0.0012599999999999998,0.0028,0.00237,0.0012900000000000001,0.00366,0.00040999999999999994,8.000000000000002e-05,0.00049,0.26299000000000006,0.5681800000000001,0.83117,0.012010000000000002
0.05061,0.10119,0.00162,0.00125,0.00287,0.0022,0.0013,0.0035,0.00038,7.000000000000001e-05,0.00045,0.2611,0.5682400000000001,0.82934,0.01204
0.05073,0.10289,0.0016099999999999999,0.0012299999999999998,0.00284,0.0021999999999999997,0.0013999999999999998,0.0036,0.00035999999999999997,7.000000000000001e-05,0.00043,0.2593,0.5681700000000001,0.82747,0.01204
0.05055,0.10463,0.0015800000000000002,0.00126,0.00284,0.00216,0.0013499999999999999,0.00351,0.00035,0.0001,0.00045,0.25783999999999996,0.56814,0.82598,0.01204
0.05069,0.10655,0.0016399999999999997,0.00131,0.00295,0.00197,0.00131,0.00328,0.00034,0.00012000000000000002,0.00046,0.25599,0.5680400000000001,0.82403,0.01204
0.051030000000000006,0.10836000000000001,0.0015,0.00132,0.00282,0.00199,0.00129,0.00328,0.00035000000000000005,0.00014000000000000001,0.00049,0.25403,0.56795,0.82198,0.01204
0.05131,0.10979000000000001,0.00153,0.00131,0.00284,0.0019100000000000002,0.0013399999999999998,0.00325,0.00036,0.00014000000000000001,0.0005,0.2523,0.5679700000000001,0.82027,0.01204
0.0518,0.11136999999999997,0.0014500000000000001,0.00128,0.00273,0.0018499999999999999,0.0014199999999999998,0.00327,0.00035999999999999997,0.00013000000000000002,0.00049,0.25036,0.56791,0.81827,0.01207
0.051980000000000005,0.11313,0.00136,0.0012299999999999998,0.00259,0.0017999999999999995,0.0014500000000000001,0.00325,0.00033999999999999997,0.00012000000000000002,0.00046,0.24864999999999995,0.5678599999999999,0.81651,0.012079999999999999
0.051680000000000004,0.11515,0.00134,0.00119,0.00253,0.0018000000000000002,0.0014600000000000001,0.00326,0.00035,0.00011,0.00046,0.24689,0.56794,0.81483,0.01209
0.05185000000000001,0.11684000000000001,0.0013399999999999998,0.00119,0.00253,0.00172,0.00144,0.00316,0.00034,0.00011,0.00045,0.24514999999999998,0.56792,0.81307,0.012100000000000001
0.05215000000000001,0.11843,0.00127,0.0012400000000000002,0.00251,0.0016499999999999998,0.00135,0.003,0.00034,0.00011,0.00045,0.24330000000000002,0.5680600000000001,0.81136,0.012100000000000001
0.05269999999999999,0.12001999999999999,0.00125,0.0012000000000000001,0.00245,0.00153,0.00135,0.00288,0.00035000000000000005,0.00014000000000000001,0.00049,0.24130000000000001,0.56806,0.80936,0.012100000000000001
0.0523,0.12195,0.0013000000000000002,0.00131,0.00261,0.0014399999999999999,0.0012699999999999999,0.00271,0.0003200000000000001,0.0001,0.00042,0.23979000000000003,0.56812,0.80791,0.012100000000000001
0.05242,0.12387999999999999,0.0012699999999999999,0.0012699999999999999,0.00254,0.0014,0.0013200000000000002,0.00272,0.00029000000000000006,0.0001,0.00039,0.23776000000000003,0.5681799999999999,0.80594,0.01211
0.052480000000000006,0.12568,0.00124,0.00121,0.00245,0.0014,0.0012599999999999998,0.00266,0.00023000000000000003,0.00011,0.00034,0.23604000000000003,0.5682400000000001,0.80428,0.01211
0.05251,0.12730999999999998,0.0013,0.0012000000000000001,0.0025,0.00134,0.0012000000000000001,0.00254,0.00022,0.0001,0.00032,0.23437999999999998,0.56833,0.80271,0.01211
0.05219999999999999,0.1293,0.0012200000000000002,0.00112,0.00234,0.0013800000000000002,0.00126,0.00264,0.0002,8.999999999999999e-05,0.00029,0.23277,0.56835,0.80112,0.01211
0.05234000000000001,0.13106,0.0011799999999999998,0.00116,0.00234,0.0013000000000000002,0.00129,0.00259,0.00019,0.00009,0.00028,0.23095,0.5683199999999999,0.79927,0.012119999999999999
0.05256999999999999,0.13259,0.00116,0.00115,0.00231,0.00124,0.00118,0.00242,0.00017000000000000004,0.00008,0.00025,0.22932000000000002,0.5684199999999999,0.79774,0.012119999999999999
0.052500000000000005,0.13447,0.0010999999999999998,0.0011,0.0022,0.0012,0.00112,0.00232,0.00017,0.00007,0.00024,0.22755999999999998,0.5685800000000001,0.79614,0.012129999999999998
0.05266,0.13645000000000002,0.00098,0.00106,0.00204,0.00111,0.00099,0.0021,0.00018,0.00008,0.00026,0.22571,0.5686500000000001,0.79436,0.012129999999999998
0.05291,0.13818,0.0010299999999999999,0.00108,0.00211,0.0010700000000000002,0.00104,0.00211,0.00018,0.00008,0.00026,0.22368000000000002,0.5686199999999999,0.7923,0.012129999999999998
0.05306000000000001,0.13973,0.00108,0.00111,0.00219,0.0010599999999999997,0.00103,0.00209,0.00013000000000000002,0.00008,0.00021,0.22200000000000003,0.56858,0.79058,0.012139999999999998
0.05333,0.14117,0.00114,0.00108,0.00222,0.00099,0.00107,0.00206,0.00014,7.000000000000001e-05,0.00021,0.22023,0.56863,0.78886,0.012149999999999998
