# t, S, I, R
22.9,6159,0.05677,3841
23,6159,0.05414,3841
23.1,6159,0.05162,3841
23.2,6159,0.04922,3841
23.3,6159,0.04692,3841
23.4,6159,0.04473,3841
23.5,6159,0.04264,3841
23.6,6159,0.04065,3841
23.7,6159,0.03875,3841
23.8,6159,0.03694,3841
23.9,6159,0.03522,3841
24,6159,0.03358,3841
24.1,6159,0.03201,3841
24.2,6159,0.03052,3841
24.3,6159,0.02911,3841
24.4,6159,0.02775,3841
24.5,6159,0.02647,3841
24.6,6159,0.02524,3841
24.7,6159,0.02407,3841
24.8,6159,0.02296,3841
24.9,6159,0.0219,3841
25,6159,0.02088,3841
25.1,6159,0.01991,3841
25.2,6159,0.01899,3841
25.3,6159,0.0181,3841
25.4,6159,0.01726,3841
25.5,6159,0.01645,3841
25.6,6159,0.01568,3841
25.7,6159,0.01495,3841
25.8,6159,0.01425,3841
25.9,6159,0.01359,3841
26,6159,0.01295,3841
26.1,6159,0.01235,3841
26.2,6159,0.01177,3841
26.3,6159,0.01123,3841
26.4,6159,0.0107,3841
26.5,6159,0.01021,3841
26.6,6159,0.009735,3841
26.7,6159,0.009285,3841
26.8,6159,0.008855,3841
26.9,6159,0.008445,3841
27,6159,0.008054,3841
27.1,6159,0.007681,3841
27.2,6159,0.007323,3841
27.3,6159,0.006982,3841
27.4,6159,0.006656,3841
27.5,6159,0.006346,3841
27.6,6159,0.006049,3841
27.7,6159,0.005767,3841
27.8,6159,0.005497,3841
27.9,6159,0.005241,3841
28,6159,0.004996,3841
28.1,6159,0.004763,3841
28.2,6159,0.004541,3841
28.3,6159,0.00433,3841
28.4,6159,0.004129,3841
28.5,6159,0.003937,3841
28.6,6159,0.003755,3841
28.7,6159,0.003581,3841
28.8,6159,0.003415,3841
28.9,6159,0.003257,3841
29,6159,0.003106,3841
29.1,6159,0.002963,3841
29.2,6159,0.002825,3841
29.3,6159,0.002694,3841
29.4,6159,0.002568,3841
29.5,6159,0.002448,3841
29.6,6159,0.002334,3841
29.7,6159,0.002225,3841
29.8,6159,0.002121,3841
29.9,6159,0.002022,3841
30,6159,0.001927,3841
30.1,6159,0.001837,3841
30.2,6159,0.001752,3841
30.3,6159,0.00167,3841
30.4,6159,0.001592,3841
30.5,6159,0.001518,3841
30.6,6159,0.001448,3841
30.7,6159,0.001381,3841
30.8,6159,0.001317,3841
30.9,6159,0.001256,3841
31,6159,0.001198,3841
31.1,6159,0.001143,3841
31.2,6159,0.00109,3841
31.3,6159,0.001039,3841
31.4,6159,0.0009908,3841
31.5,6159,0.0009446,3841
31.6,6159,0.0009005,3841
31.7,6159,0.0008584,3841
31.8,6159,0.0008182,3841
31.9,6159,0.00078,3841
32,6159,0.0007435,3841
32.1,6159,0.0007088,3841
32.2,6159,0.0006757,3841
32.3,6159,0.0006441,3841
32.4,6159,0.0006141,3841
32.5,6159,0.0005856,3841
32.6,6159,0.0005584,3841
32.7,6159,0.0005325,3841
32.8,6159,0.0005078,3841
32.9,6159,0.0004844,3841
33,6159,0.000462,3841
33.1,6159,0.0004407,3841
33.2,6159,0.0004203,3841
33.3,6159,0.0004009,3841
33.4,6159,0.0003823,3841
33.5,6159,0.0003646,3841
33.6,6159,0.0003476,3841
33.7,6159,0.0003314,3841
33.8,6159,0.0003159,3841
33.9,6159,0.0003011,3841
34,6159,0.000287,3841
34.1,6159,0.0002735,3841
34.2,6159,0.0002607,3841
34.3,6159,0.0002485,3841
34.4,6159,0.0002369,3841
34.5,6159,0.0002258,3841
34.6,6159,0.0002153,3841
34.7,6159,0.0002053,3841
34.8,6159,0.0001957,3841
34.9,6159,0.0001867,3841
35,6159,0.000178,3841
35.1,6159,0.0001698,3841
35.2,6159,0.000162,3841
35.3,6159,0.0001545,3841
35.4,6159,0.0001474,3841
35.5,6159,0.0001407,3841
35.6,6159,0.0001342,3841
35.7,6159,0.000128,3841
35.8,6159,0.0001221,3841
35.9,6159,0.0001164,3841
36,6159,0.000111,3841
36.1,6159,0.0001058,3841
36.2,6159,0.0001008,3841
36.3,6159,9.606e-05,3841
36.4,6159,9.154e-05,3841
36.5,6159,8.722e-05,3841
36.6,6159,8.311e-05,3841
36.7,6159,7.92e-05,3841
36.8,6159,7.547e-05,3841
36.9,6159,7.193e-05,3841
37,6159,6.856e-05,3841
37.1,6159,6.536e-05,3841
37.2,6159,6.232e-05,3841
37.3,6159,5.943e-05,3841
37.4,6159,5.669e-05,3841
37.5,6159,5.408e-05,3841
37.6,6159,5.161e-05,3841
37.7,6159,4.926e-05,3841
37.8,6159,4.702e-05,3841
37.9,6159,4.489e-05,3841
38,6159,4.286e-05,3841
38.1,6159,4.092e-05,3841
38.2,6159,3.906e-05,3841
38.3,6159,3.729e-05,3841
38.4,6159,3.558e-05,3841
38.5,6159,3.393e-05,3841
38.6,6159,3.234e-05,3841
38.7,6159,3.082e-05,3841
38.8,6159,2.936e-05,3841
38.9,6159,2.797e-05,3841
39,6159,2.663e-05,3841
39.1,6159,2.536e-05,3841
39.2,6159,2.414e-05,3841
39.3,6159,2.298e-05,3841
39.4,6159,2.188e-05,3841
39.5,6159,2.083e-05,3841
39.6,6159,1.983e-05,3841
39.7,6159,1.889e-05,3841
39.8,6159,1.799e-05,3841
39.9,6159,1.714e-05,3841
40,6159,1.634e-05,3841
40.1,6159,1.558e-05,3841
40.2,6159,1.486e-05,3841
40.3,6159,1.419e-05,3841
40.4,6159,1.355e-05,3841
40.5,6159,1.294e-05,3841
40.6,6159,1.237e-05,3841
40.7,6159,1.183e-05,3841
40.8,6159,1.132e-05,3841
40.9,6159,1.083e-05,3841
41,6159,1.037e-05,3841
41.1,6159,9.928e-06,3841
41.2,6159,9.505e-06,3841
41.3,6159,9.098e-06,3841
41.4,6159,8.703e-06,3841
41.5,6159,8.318e-06,3841
41.6,6159,7.941e-06,3841
41.7,6159,7.57e-06,3841
41.8,6159,7.211e-06,3841
41.9,6159,6.863e-06,3841
42,6159,6.528e-06,3841
42.1,6159,6.205e-06,3841
42.2,6159,5.894e-06,3841
42.3,6159,5.597e-06,3841
42.4,6159,5.311e-06,3841
42.5,6159,5.039e-06,3841
42.6,6159,4.78e-06,3841
42.7,6159,4.533e-06,3841
42.8,6159,4.299e-06,3841
42.9,6159,4.077e-06,3841
43,6159,3.868e-06,3841
43.1,6159,3.671e-06,3841
43.2,6159,3.486e-06,3841
43.3,6159,3.313e-06,3841
43.4,6159,3.151e-06,3841
43.5,6159,3.001e-06,3841
43.6,6159,2.86e-06,3841
43.7,6159,2.731e-06,3841
43.8,6159,2.611e-06,3841
43.9,6159,2.5e-06,3841
44,6159,2.398e-06,3841
44.1,6159,2.304e-06,3841
44.2,6159,2.218e-06,3841
44.3,6159,2.139e-06,3841
44.4,6159,2.065e-06,3841
44.5,6159,1.997e-06,3841
44.6,6159,1.934e-06,3841
44.7,6159,1.875e-06,3841
44.8,6159,1.819e-06,3841
44.9,6159,1.764e-06,3841
45,6159,1.711e-06,3841
45.1,6159,1.658e-06,3841
45.2,6159,1.604e-06,3841
45.3,6159,1.549e-06,3841
45.4,6159,1.49e-06,3841
45.5,6159,1.427e-06,3841
45.6,6159,1.36e-06,3841
45.7,6159,1.293e-06,3841
45.8,6159,1.227e-06,3841
45.9,6159,1.161e-06,3841
46,6159,1.096e-06,3841
46.1,6159,1.032e-06,3841
46.2,6159,9.69e-07,3841
46.3,6159,9.08e-07,3841
46.4,6159,8.488e-07,3841
46.5,6159,7.917e-07,3841
46.6,6159,7.367e-07,3841
46.7,6159,6.84e-07,3841
46.8,6159,6.338e-07,3841
46.9,6159,5.862e-07,3841
47,6159,5.413e-07,3841
47.1,6159,4.992e-07,3841
47.2,6159,4.599e-07,3841
47.3,6159,4.236e-07,3841
47.4,6159,3.903e-07,3841
47.5,6159,3.6e-07,3841
47.6,6159,3.327e-07,3841
47.7,6159,3.084e-07,3841
47.8,6159,2.871e-07,3841
47.9,6159,2.687e-07,3841
48,6159,2.532e-07,3841
48.1,6159,2.406e-07,3841
48.2,6159,2.307e-07,3841
48.3,6159,2.235e-07,3841
48.4,6159,2.188e-07,3841
48.5,6159,2.165e-07,3841
48.6,6159,2.164e-07,3841
48.7,6159,2.184e-07,3841
48.8,6159,2.223e-07,3841
48.9,6159,2.279e-07,3841
49,6159,2.35e-07,3841
49.1,6159,2.434e-07,3841
49.2,6159,2.527e-07,3841
49.3,6159,2.628e-07,3841
49.4,6159,2.734e-07,3841
49.5,6159,2.841e-07,3841
49.6,6159,2.947e-07,3841
49.7,6159,3.049e-07,3841
49.8,6159,3.142e-07,3841
49.9,6159,3.224e-07,3841
50,6159,3.29e-07,3841
50.1,6159,3.337e-07,3841
50.2,6159,3.361e-07,3841
50.3,6159,3.357e-07,3841
50.4,6159,3.321e-07,3841
50.5,6159,3.248e-07,3841
50.6,6159,3.134e-07,3841
50.7,6159,2.982e-07,3841
50.8,6159,2.811e-07,3841
50.9,6159,2.624e-07,3841
51,6159,2.423e-07,3841
51.1,6159,2.211e-07,3841
51.2,6159,1.989e-07,3841
51.3,6159,1.76e-07,3841
51.4,6159,1.525e-07,3841
51.5,6159,1.288e-07,3841
51.6,6159,1.048e-07,3841
51.7,6159,8.086e-08,3841
51.8,6159,5.709e-08,3841
51.9,6159,3.365e-08,3841
52,6159,1.069e-08,3841
52.1,6159,-1.166e-08,3841
52.2,6159,-3.325e-08,3841
52.3,6159,-5.397e-08,3841
52.4,6159,-7.37e-08,3841
52.5,6159,-9.234e-08,3841
52.6,6159,-1.098e-07,3841
52.7,6159,-1.259e-07,3841
52.8,6159,-1.407e-07,3841
52.9,6159,-1.541e-07,3841
53,6159,-1.659e-07,3841
53.1,6159,-1.762e-07,3841
53.2,6159,-1.849e-07,3841
53.3,6159,-1.919e-07,3841
53.4,6159,-1.972e-07,3841
53.5,6159,-2.009e-07,3841
53.6,6159,-2.028e-07,3841
53.7,6159,-2.029e-07,3841
53.8,6159,-2.014e-07,3841
53.9,6159,-1.981e-07,3841
54,6159,-1.931e-07,3841
54.1,6159,-1.864e-07,3841
54.2,6159,-1.78e-07,3841
54.3,6159,-1.681e-07,3841
54.4,6159,-1.566e-07,3841
54.5,6159,-1.436e-07,3841
54.6,6159,-1.292e-07,3841
54.7,6159,-1.134e-07,3841
54.8,6159,-9.629e-08,3841
54.9,6159,-7.804e-08,3841
55,6159,-5.87e-08,3841
55.1,6159,-3.838e-08,3841
55.2,6159,-1.72e-08,3841
55.3,6159,4.713e-09,3841
55.4,6159,2.723e-08,3841
55.5,6159,5.022e-08,3841
55.6,6159,7.352e-08,3841
55.7,6159,9.698e-08,3841
55.8,6159,1.204e-07,3841
55.9,6159,1.437e-07,3841
56,6159,1.666e-07,3841
56.1,6159,1.89e-07,3841
56.2,6159,2.106e-07,3841
56.3,6159,2.312e-07,3841
56.4,6159,2.507e-07,3841
56.5,6159,2.688e-07,3841
56.6,6159,2.852e-07,3841
56.7,6159,2.998e-07,3841
56.8,6159,3.123e-07,3841
56.9,6159,3.224e-07,3841
57,6159,3.299e-07,3841
57.1,6159,3.344e-07,3841
57.2,6159,3.358e-07,3841
57.3,6159,3.337e-07,3841
57.4,6159,3.278e-07,3841
57.5,6159,3.178e-07,3841
57.6,6159,3.032e-07,3841
57.7,6159,2.818e-07,3841
57.8,6159,2.537e-07,3841
57.9,6159,2.195e-07,3841
58,6159,1.797e-07,3841
58.1,6159,1.35e-07,3841
58.2,6159,8.584e-08,3841
58.3,6159,3.287e-08,3841
58.4,6159,-2.342e-08,3841
58.5,6159,-8.252e-08,3841
58.6,6159,-1.439e-07,3841
58.7,6159,-2.072e-07,3841
58.8,6159,-2.718e-07,3841
58.9,6159,-3.374e-07,3841
59,6159,-4.034e-07,3841
59.1,6159,-4.695e-07,3841
59.2,6159,-5.353e-07,3841
59.3,6159,-6.004e-07,3841
59.4,6159,-6.645e-07,3841
59.5,6159,-7.271e-07,3841
59.6,6159,-7.88e-07,3841
59.7,6159,-8.468e-07,3841
59.8,6159,-9.033e-07,3841
59.9,6159,-9.571e-07,3841
60,6159,-1.008e-06,3841
60.1,6159,-1.056e-06,3841
60.2,6159,-1.1e-06,3841
60.3,6159,-1.141e-06,3841
60.4,6159,-1.178e-06,3841
60.5,6159,-1.21e-06,3841
60.6,6159,-1.239e-06,3841
60.7,6159,-1.263e-06,3841
60.8,6159,-1.283e-06,3841
60.9,6159,-1.299e-06,3841
61,6159,-1.309e-06,3841
61.1,6159,-1.315e-06,3841
61.2,6159,-1.316e-06,3841
61.3,6159,-1.312e-06,3841
61.4,6159,-1.303e-06,3841
61.5,6159,-1.289e-06,3841
61.6,6159,-1.27e-06,3841
61.7,6159,-1.246e-06,3841
61.8,6159,-1.217e-06,3841
61.9,6159,-1.184e-06,3841
62,6159,-1.145e-06,3841
62.1,6159,-1.101e-06,3841
62.2,6159,-1.053e-06,3841
62.3,6159,-1.001e-06,3841
62.4,6159,-9.434e-07,3841
62.5,6159,-8.818e-07,3841
62.6,6159,-8.161e-07,3841
62.7,6159,-7.464e-07,3841
62.8,6159,-6.728e-07,3841
62.9,6159,-5.957e-07,3841
63,6159,-5.151e-07,3841
63.1,6159,-4.314e-07,3841
63.2,6159,-3.447e-07,3841
63.3,6159,-2.555e-07,3841
63.4,6159,-1.638e-07,3841
63.5,6159,-7.014e-08,3841
63.6,6159,2.53e-08,3841
63.7,6159,1.221e-07,3841
63.8,6159,2.2e-07,3841
63.9,6159,3.186e-07,3841
64,6159,4.175e-07,3841
64.1,6159,5.163e-07,3841
64.2,6159,6.146e-07,3841
64.3,6159,7.12e-07,3841
64.4,6159,8.08e-07,3841
64.5,6159,9.021e-07,3841
64.6,6159,9.939e-07,3841
64.7,6159,1.083e-06,3841
64.8,6159,1.169e-06,3841
64.9,6159,1.25e-06,3841
65,6159,1.328e-06,3841
65.1,6159,1.4e-06,3841
65.2,6159,1.467e-06,3841
65.3,6159,1.528e-06,3841
65.4,6159,1.582e-06,3841
65.5,6159,1.629e-06,3841
65.6,6159,1.667e-06,3841
65.7,6159,1.697e-06,3841
65.8,6159,1.718e-06,3841
65.9,6159,1.728e-06,3841
66,6159,1.728e-06,3841
66.1,6159,1.717e-06,3841
66.2,6159,1.693e-06,3841
66.3,6159,1.656e-06,3841
66.4,6159,1.605e-06,3841
66.5,6159,1.54e-06,3841
66.6,6159,1.465e-06,3841
66.7,6159,1.385e-06,3841
66.8,6159,1.301e-06,3841
66.9,6159,1.214e-06,3841
67,6159,1.126e-06,3841
67.1,6159,1.035e-06,3841
67.2,6159,9.441e-07,3841
67.3,6159,8.527e-07,3841
67.4,6159,7.616e-07,3841
67.5,6159,6.716e-07,3841
67.6,6159,5.83e-07,3841
67.7,6159,4.965e-07,3841
67.8,6159,4.124e-07,3841
67.9,6159,3.313e-07,3841
68,6159,2.536e-07,3841
68.1,6159,1.795e-07,3841
68.2,6159,1.096e-07,3841
68.3,6159,4.407e-08,3841
68.4,6159,-1.675e-08,3841
68.5,6159,-7.261e-08,3841
68.6,6159,-1.233e-07,3841
68.7,6159,-1.686e-07,3841
68.8,6159,-2.083e-07,3841
68.9,6159,-2.423e-07,3841
69,6159,-2.705e-07,3841
69.1,6159,-2.929e-07,3841
69.2,6159,-3.094e-07,3841
69.3,6159,-3.199e-07,3841
69.4,6159,-3.245e-07,3841
69.5,6159,-3.233e-07,3841
69.6,6159,-3.163e-07,3841
69.7,6159,-3.037e-07,3841
69.8,6159,-2.855e-07,3841
69.9,6159,-2.621e-07,3841
70,6159,-2.334e-07,3841
70.1,6159,-1.999e-07,3841
70.2,6159,-1.618e-07,3841
70.3,6159,-1.194e-07,3841
70.4,6159,-7.296e-08,3841
70.5,6159,-2.291e-08,3841
70.6,6159,3.038e-08,3841
70.7,6159,8.647e-08,3841
70.8,6159,1.449e-07,3841
70.9,6159,2.052e-07,3841
71,6159,2.669e-07,3841
71.1,6159,3.293e-07,3841
71.2,6159,3.92e-07,3841
71.3,6159,4.543e-07,3841
71.4,6159,5.155e-07,3841
71.5,6159,5.75e-07,3841
71.6,6159,6.322e-07,3841
71.7,6159,6.861e-07,3841
71.8,6159,7.362e-07,3841
71.9,6159,7.815e-07,3841
72,6159,8.213e-07,3841
72.1,6159,8.546e-07,3841
72.2,6159,8.807e-07,3841
72.3,6159,8.986e-07,3841
72.4,6159,9.072e-07,3841
72.5,6159,9.058e-07,3841
72.6,6159,8.931e-07,3841
72.7,6159,8.682e-07,3841
72.8,6159,8.307e-07,3841
72.9,6159,7.882e-07,3841
73,6159,7.433e-07,3841
73.1,6159,6.966e-07,3841
73.2,6159,6.485e-07,3841
73.3,6159,5.993e-07,3841
73.4,6159,5.494e-07,3841
73.5,6159,4.992e-07,3841
73.6,6159,4.49e-07,3841
73.7,6159,3.991e-07,3841
73.8,6159,3.499e-07,3841
73.9,6159,3.016e-07,3841
74,6159,2.546e-07,3841
74.1,6159,2.09e-07,3841
74.2,6159,1.651e-07,3841
74.3,6159,1.231e-07,3841
74.4,6159,8.331e-08,3841
74.5,6159,4.58e-08,3841
74.6,6159,1.078e-08,3841
74.7,6159,-2.159e-08,3841
74.8,6159,-5.119e-08,3841
74.9,6159,-7.789e-08,3841
75,6159,-1.016e-07,3841
75.1,6159,-1.222e-07,3841
75.2,6159,-1.397e-07,3841
75.3,6159,-1.539e-07,3841
75.4,6159,-1.649e-07,3841
75.5,6159,-1.727e-07,3841
75.6,6159,-1.772e-07,3841
75.7,6159,-1.785e-07,3841
75.8,6159,-1.766e-07,3841
75.9,6159,-1.715e-07,3841
76,6159,-1.634e-07,3841
76.1,6159,-1.522e-07,3841
76.2,6159,-1.382e-07,3841
76.3,6159,-1.214e-07,3841
76.4,6159,-1.02e-07,3841
76.5,6159,-8.006e-08,3841
76.6,6159,-5.585e-08,3841
76.7,6159,-2.953e-08,3841
76.8,6159,-1.289e-09,3841
76.9,6159,2.863e-08,3841
77,6159,6e-08,3841
77.1,6159,9.256e-08,3841
77.2,6159,1.26e-07,3841
77.3,6159,1.601e-07,3841
77.4,6159,1.945e-07,3841
77.5,6159,2.29e-07,3841
77.6,6159,2.63e-07,3841
77.7,6159,2.963e-07,3841
77.8,6159,3.286e-07,3841
77.9,6159,3.593e-07,3841
78,6159,3.882e-07,3841
78.1,6159,4.147e-07,3841
78.2,6159,4.385e-07,3841
78.3,6159,4.591e-07,3841
78.4,6159,4.759e-07,3841
78.5,6159,4.885e-07,3841
78.6,6159,4.964e-07,3841
78.7,6159,4.99e-07,3841
78.8,6159,4.959e-07,3841
78.9,6159,4.864e-07,3841
79,6159,4.699e-07,3841
79.1,6159,4.468e-07,3841
79.2,6159,4.195e-07,3841
79.3,6159,3.884e-07,3841
79.4,6159,3.542e-07,3841
79.5,6159,3.171e-07,3841
79.6,6159,2.777e-07,3841
79.7,6159,2.363e-07,3841
79.8,6159,1.934e-07,3841
79.9,6159,1.493e-07,3841
80,6159,1.043e-07,3841
80.1,6159,5.886e-08,3841
80.2,6159,1.329e-08,3841
80.3,6159,-3.209e-08,3841
80.4,6159,-7.7e-08,3841
80.5,6159,-1.211e-07,3841
80.6,6159,-1.642e-07,3841
80.7,6159,-2.06e-07,3841
80.8,6159,-2.462e-07,3841
80.9,6159,-2.846e-07,3841
81,6159,-3.21e-07,3841
81.1,6159,-3.553e-07,3841
81.2,6159,-3.871e-07,3841
81.3,6159,-4.164e-07,3841
81.4,6159,-4.43e-07,3841
81.5,6159,-4.667e-07,3841
81.6,6159,-4.875e-07,3841
81.7,6159,-5.052e-07,3841
81.8,6159,-5.196e-07,3841
81.9,6159,-5.309e-07,3841
82,6159,-5.388e-07,3841
82.1,6159,-5.433e-07,3841
82.2,6159,-5.444e-07,3841
82.3,6159,-5.421e-07,3841
82.4,6159,-5.363e-07,3841
82.5,6159,-5.271e-07,3841
82.6,6159,-5.145e-07,3841
82.7,6159,-4.985e-07,3841
82.8,6159,-4.792e-07,3841
82.9,6159,-4.567e-07,3841
83,6159,-4.31e-07,3841
83.1,6159,-4.022e-07,3841
83.2,6159,-3.705e-07,3841
83.3,6159,-3.359e-07,3841
83.4,6159,-2.987e-07,3841
83.5,6159,-2.59e-07,3841
83.6,6159,-2.169e-07,3841
83.7,6159,-1.726e-07,3841
83.8,6159,-1.264e-07,3841
83.9,6159,-7.847e-08,3841
84,6159,-2.902e-08,3841
84.1,6159,2.168e-08,3841
84.2,6159,7.338e-08,3841
84.3,6159,1.258e-07,3841
84.4,6159,1.786e-07,3841
84.5,6159,2.316e-07,3841
84.6,6159,2.843e-07,3841
84.7,6159,3.365e-07,3841
84.8,6159,3.878e-07,3841
84.9,6159,4.379e-07,3841
85,6159,4.863e-07,3841
85.1,6159,5.326e-07,3841
85.2,6159,5.765e-07,3841
85.3,6159,6.175e-07,3841
85.4,6159,6.552e-07,3841
85.5,6159,6.891e-07,3841
85.6,6159,7.188e-07,3841
85.7,6159,7.437e-07,3841
85.8,6159,7.633e-07,3841
85.9,6159,7.772e-07,3841
86,6159,7.848e-07,3841
86.1,6159,7.856e-07,3841
86.2,6159,7.79e-07,3841
86.3,6159,7.644e-07,3841
86.4,6159,7.412e-07,3841
86.5,6159,7.088e-07,3841
86.6,6159,6.66e-07,3841
86.7,6159,6.134e-07,3841
86.8,6159,5.52e-07,3841
86.9,6159,4.827e-07,3841
87,6159,4.065e-07,3841
87.1,6159,3.243e-07,3841
87.2,6159,2.369e-07,3841
87.3,6159,1.454e-07,3841
87.4,6159,5.039e-08,3841
