S,I,R
0.9885000000000002,0.011399999999999999,0.0001
0.9870999999999999,0.012499999999999999,0.0004
0.9862,0.013299999999999998,0.0005
0.9856,0.0139,0.0005
0.9843999999999999,0.015000000000000003,0.0006000000000000001
0.9831,0.0163,0.0006000000000000001
0.9813999999999998,0.017999999999999995,0.0006000000000000001
0.9805999999999999,0.018699999999999998,0.0007
0.9792,0.019799999999999998,0.0010000000000000002
0.9773999999999999,0.021399999999999995,0.0012000000000000003
0.9755,0.0232,0.0013000000000000004
0.9734999999999999,0.025,0.0015000000000000002
0.9712,0.027200000000000002,0.0016
0.9682999999999999,0.03,0.0017000000000000001
0.9649999999999999,0.033100000000000004,0.0019000000000000002
0.961,0.0368,0.0021999999999999997
0.9587999999999999,0.0388,0.0024000000000000002
0.9544,0.043,0.0026
0.9504999999999999,0.0467,0.0028
0.9473,0.0497,0.003
0.943,0.05389999999999999,0.0031
0.9381999999999999,0.058499999999999996,0.0033
0.9335000000000001,0.0629,0.0036000000000000003
0.9286,0.06739999999999999,0.004000000000000001
0.9231000000000001,0.07250000000000001,0.004399999999999999
0.9179999999999999,0.0774,0.0046
0.9115,0.08360000000000001,0.0049
0.9053000000000001,0.0894,0.0053
0.8977,0.0967,0.005599999999999999
0.8888,0.1048,0.006399999999999999
0.8803000000000001,0.11279999999999998,0.006900000000000001
0.8712,0.12090000000000001,0.0079
0.8618,0.12979999999999997,0.008400000000000001
0.8521000000000001,0.13849999999999998,0.009400000000000002
0.8404,0.14909999999999998,0.010499999999999999
0.8282999999999999,0.16060000000000002,0.011099999999999999
0.8159000000000001,0.17219999999999996,0.011899999999999999
0.8035,0.1837,0.0128
0.7917,0.1941,0.0142
0.7776,0.2069,0.0155
0.7609000000000001,0.22210000000000002,0.017
0.7469,0.2351,0.018000000000000002
0.7308,0.24980000000000002,0.0194
0.7182000000000001,0.26050000000000006,0.021300000000000003
0.6999000000000001,0.27749999999999997,0.0226
0.6836,0.292,0.024399999999999998
0.6660999999999999,0.3076,0.0263
0.6525,0.3196,0.0279
0.6345,0.33530000000000004,0.030199999999999998
0.6181,0.35040000000000004,0.0315
0.5997,0.3665,0.0338
0.5816000000000001,0.38210000000000005,0.0363
0.5649,0.39640000000000003,0.0387
0.5487,0.4109,0.040400000000000005
0.5298999999999999,0.4277,0.04240000000000001
0.5128999999999999,0.44270000000000004,0.044399999999999995
0.49470000000000003,0.45810000000000006,0.0472
