S,I,R
0.9897,0.0103,0.0
0.9891,0.010899999999999998,0.0
0.9885000000000002,0.011399999999999999,0.0001
0.9878,0.012099999999999998,0.0001
0.9869999999999999,0.0128,0.0002
0.9866999999999999,0.0131,0.0002
0.9857999999999999,0.013900000000000001,0.00030000000000000003
0.9846999999999999,0.014900000000000002,0.0004
0.984,0.0155,0.0005
0.9832999999999998,0.0162,0.0005
0.9823000000000001,0.017,0.0007
0.9808,0.018500000000000003,0.0007
0.9790000000000001,0.0203,0.0007
0.9771000000000001,0.0221,0.0008
0.9761,0.022899999999999997,0.0010000000000000002
0.9743999999999999,0.0245,0.0011000000000000003
0.9729999999999999,0.025799999999999997,0.0012000000000000003
0.9709999999999999,0.0278,0.0012000000000000003
0.9696999999999999,0.028999999999999998,0.0013000000000000004
0.9673999999999999,0.031,0.0016
0.9656999999999998,0.0324,0.0019000000000000002
0.9638,0.0342,0.002
0.9617999999999999,0.035800000000000005,0.0024000000000000002
0.9598000000000001,0.037700000000000004,0.0025
0.9572999999999998,0.0402,0.0025
0.9549999999999998,0.042499999999999996,0.0025
0.9529,0.04429999999999999,0.0028000000000000004
0.9502,0.0469,0.0029
0.9483,0.04869999999999999,0.003
0.9457000000000001,0.05089999999999999,0.0034000000000000002
0.9423999999999999,0.0538,0.0038000000000000004
0.9389999999999998,0.056299999999999996,0.0047
0.937,0.0583,0.0047
0.9338999999999998,0.0611,0.004999999999999999
0.9312999999999999,0.0629,0.0058
0.9271,0.06670000000000001,0.0062
0.9234000000000002,0.0694,0.0072
0.9206,0.072,0.0073999999999999995
0.9164000000000001,0.0759,0.0077
0.9127000000000003,0.079,0.0083
0.9080999999999999,0.0829,0.009000000000000001
0.9037000000000001,0.08659999999999998,0.009700000000000002
0.8994,0.08999999999999998,0.0106
0.8953,0.09389999999999998,0.0108
0.8905999999999998,0.09809999999999999,0.011300000000000001
0.8855000000000001,0.1024,0.0121
0.8797,0.1075,0.012799999999999997
0.8756999999999999,0.1105,0.013799999999999998
0.8701000000000001,0.11560000000000001,0.014299999999999998
0.8642000000000001,0.1203,0.0155
0.8589,0.12489999999999998,0.0162
