S,I,R
0.9888999999999999,0.010699999999999998,0.0004
0.9879999999999999,0.011399999999999997,0.0006000000000000001
0.9867000000000001,0.012499999999999999,0.0008
0.9861999999999999,0.0129,0.0009000000000000001
0.9844000000000002,0.014700000000000001,0.0009000000000000001
0.9828000000000001,0.016300000000000002,0.0009000000000000001
0.9811,0.018000000000000002,0.0009000000000000001
0.9793999999999998,0.019600000000000003,0.0010000000000000002
0.9773999999999999,0.021599999999999998,0.0010000000000000002
0.9753999999999999,0.023399999999999997,0.0012000000000000003
0.9735999999999999,0.024999999999999998,0.0014000000000000002
0.9719,0.0262,0.0019000000000000002
0.9693999999999999,0.028500000000000004,0.0021000000000000003
0.9667,0.031000000000000007,0.0023000000000000004
0.9635000000000001,0.034100000000000005,0.0024000000000000002
0.9606000000000001,0.0368,0.0026
0.9577,0.0392,0.0031000000000000003
0.9536999999999999,0.043,0.0033
0.95,0.046299999999999994,0.0037000000000000006
0.9471,0.049,0.0039000000000000007
0.9415999999999999,0.05450000000000001,0.0039000000000000007
0.9355,0.060300000000000006,0.004200000000000001
0.9298,0.0656,0.0046
0.9237,0.07149999999999998,0.0048000000000000004
0.9175000000000001,0.0773,0.005200000000000001
0.9107000000000001,0.0831,0.0062
0.9031,0.09049999999999998,0.0064
0.8951999999999998,0.09789999999999999,0.006900000000000001
0.8867,0.1056,0.0077
0.8762000000000001,0.11549999999999998,0.0083
0.8651,0.1262,0.008700000000000001
0.8539,0.13609999999999997,0.009999999999999998
0.8417,0.14759999999999998,0.0107
0.8305999999999999,0.1582,0.011199999999999998
0.8177999999999999,0.17029999999999998,0.011899999999999997
0.8048,0.18259999999999998,0.012599999999999997
0.7907,0.1957,0.013599999999999998
0.7754000000000001,0.2104,0.0142
0.7578,0.22549999999999998,0.0167
0.7426,0.2391,0.0183
0.7212,0.259,0.019799999999999998
0.7012999999999999,0.2774,0.021299999999999996
0.6817,0.2952,0.0231
0.6627,0.3125,0.024799999999999996
0.6423000000000001,0.3302,0.027500000000000004
0.6241,0.3466,0.029300000000000003
0.6025999999999999,0.3652,0.032200000000000006
0.5831999999999999,0.38260000000000005,0.0342
0.5624,0.40090000000000003,0.036699999999999997
0.5414,0.41899999999999993,0.03959999999999999
0.5192000000000001,0.43859999999999993,0.042199999999999994
0.49670000000000003,0.45870000000000005,0.044599999999999994
0.47619999999999996,0.4756,0.0482
0.45710000000000006,0.4917000000000001,0.0512
0.43570000000000003,0.5104,0.0539
0.41500000000000004,0.5282,0.0568
0.3939999999999999,0.5469,0.05910000000000001
0.37439999999999996,0.5638,0.0618
0.3555,0.579,0.0655
0.33759999999999996,0.5933,0.06910000000000001
0.3196,0.6081000000000001,0.0723
0.3012,0.6231,0.07569999999999999
0.2829,0.6377,0.0794
0.2649,0.6523999999999999,0.0827
0.24739999999999998,0.6666,0.086
0.23159999999999997,0.6794,0.089
0.21610000000000004,0.6908000000000001,0.0931
0.20180000000000003,0.7024,0.0958
0.1891,0.7108000000000001,0.1001
0.17449999999999996,0.7213999999999999,0.1041
0.1646,0.7271000000000001,0.1083
0.1526,0.7343,0.1131
0.1426,0.7395999999999999,0.11779999999999999
0.1338,0.7429000000000002,0.1233
0.12419999999999998,0.7472000000000001,0.1286
0.1172,0.7494,0.13340000000000002
0.10919999999999999,0.7535000000000001,0.13730000000000003
0.1028,0.7556,0.1416
0.09459999999999999,0.7599,0.14550000000000002
0.0875,0.7615999999999999,0.1509
0.08030000000000001,0.7643,0.15539999999999998
0.0746,0.7654000000000001,0.15999999999999998
0.0691,0.7677000000000002,0.16319999999999998
0.06409999999999999,0.7666999999999999,0.16920000000000002
0.0591,0.767,0.1739
0.05539999999999999,0.7661,0.17850000000000002
0.05109999999999999,0.7652,0.18369999999999997
0.046700000000000005,0.7647,0.18859999999999996
0.0433,0.7631000000000001,0.1936
0.0404,0.7621000000000001,0.1975
0.037,0.7605,0.20249999999999999
0.0341,0.7585,0.20740000000000003
